关键词,热度,标准化热度
26岁抗癌博主小黄同学离世,1422765,7.907759002370551
雷军辟谣只招聘35岁以下员工,477198,2.504433784212825
王一博 安全扣没扣好,6436151,36.55613082812049
赵露思全国后援会发长文,238015,1.1376522281151407
张雪峰公司实行上4休3,802824,4.365183130888236
男子向大熊猫兰香砸整瓶可乐,1386295,7.699355715553
湘大投毒案将开庭被害人姐姐发声,263209,1.2816202129816447
年轻人换房过年漏洞很大,385674,1.9814312500014288
雷军回应股价回升,489315,2.5736748762437625
制止偷拍遭殴打00后小伙痛哭发声,118937,0.45719578205919137
30岁博士生杜梅病逝遗书让人泪目,1360539,7.552176251465452
甲流出现症状48小时内用药最好,293379,1.4540229320188134
单位员工用国家秘密送人情,107515,0.39192618123577266
抑郁是种情绪抑郁症是种疾病,538041,2.8521135533337554
上海流感病毒活动强度明显增强,189098,0.8581221052400598
婚恋网站不能成了锁定客户的网坑,505486,2.6660820479225844
群演曾被骗到缅北交62万赎回,420927,2.1828801414239445
猫在洗衣机里洗了2分钟才被发现,391492,2.0146774886278207
男子认亲成功16年后发现亲爹是假的,815164,4.4356985287310815
缺乏优质影片是票房下降的原因吗,209216,0.9730839183520837
顺风车司机将女子高速赶下车被行拘,243386,1.1683441407418769
继承逝者手机号被要求证明我妈是我妈,430614,2.2382353001681627
西藏定日县地震已致126人遇难,2534688,14.261704927460569
老板给贪官租别墅吃喝玩乐一条龙,488040,2.5663890470501136
全屋都是bug的出租屋,126504,0.5004364640265183
纪检监察机关瞄准民生大事深挖贪腐,453805,2.37075739023084
天然气断供已影响部分欧洲国家,408948,2.114427633258673
口头请病假被按旷工开除,378848,1.9424249205301751
美国汽车撞人已致15死细节披露,51425,0.07140684047359833
谁也不能阻挡祖国统一的历史大势,247489,1.1917902248058312
有洗发水用伪科学抹黑同行营销,338834,1.7137698857421981
韩国游客上海排队3小时吃羊肉串,577091,3.0752599298137504
环卫工翻4吨垃圾找回小伙23万彩礼,474578,2.4894621195168565
父亲回应17岁网红抗癌6年后离世,402557,2.0779070572770175
孩子出生两天发现月子中心跑路了,488280,2.567760497251271
处置网络水军账号和商家店铺239万个,513340,2.710962755755462
123岁老人林蛇母家中去世,1933168,10.824393573292927
阳光型抑郁症到底是什么,526131,2.7840553371013166
北外通报某教师深夜跟踪女同事,402144,2.075547020055859
黄子韬炮轰演员星星失联事件招聘组,1098090,6.052444027117228
丈夫称烧伤妈妈皮肤不可能回到以前,338720,1.713118446896648
女子在外打工家里住十几个陌生人,528745,2.7989927155422567
超市被员工偷倒闭当事人发声,405077,2.0923072843891712
回流人员曾称去了妙瓦底真的会死,322929,1.6228827380363255
韩客机失事现场发现波音737手册残页,595806,3.182204473624841
被骗缅北小伙称被发现报警九死一生,154798,0.6621190139913063
百余人参与逮捕尹锡悦失败,1648677,9.198705076720067
女生清华毕业5年后去蓝翔全职学厨,792438,4.305833623433147
坦克500hi4z价格超预期,145241,0.6075067241060488
尹锡悦支持者阻挠逮捕,343454,1.7401703021144792
美国车辆冲撞行人事件致10人死亡,623895,3.3427155765428074
消防通报万达广场门口氢气球爆燃,413087,2.138079434852801
00后抗癌博主子豪去世瘦成皮包骨,254753,1.233299450894197
驻缅甸大使馆回应演员星星失联,540967,2.8688338170362
明星维权不能只靠网络升堂,92292,0.3049362378515227
央视曝光猫贷套路,463860,2.4282154392834996
客服回应生理期内裤被指有塑料膜,1337770,7.422065628006476
韩国空难179具遗体仅5具完好无损,762797,4.136453809214363
小区业主投诉被平摊20万漏抄水费,551039,2.926389010478108
被前男友泼汽油女子植皮12次,305344,1.522395438922351
特朗普不排除武力控制巴拿马运河格陵兰岛,979689,5.3758562135037105
打击消费品先涨价后打折,137030,0.5605859840989492
男子意外触碰氢氟酸手指烂出黑洞,138668,0.5699461317218488
开朗的人也会患抑郁症,55608,0.0953100746046052
抗癌博主劝大家远离槟榔,384649,1.9755740147673186
存量房公积金贷款利率明起正式下调,158970,0.6859593899880935
我愿为了这套房子爬七楼,294298,1.459274443414079
19岁少女网贷9万买笑气,1440978,8.011834929510888
颜十六疑诱骗多名演员前往泰国,636615,3.4154024372041527
韩失事飞机最后4分钟究竟发生了啥,194798,0.8906940475175494
王星称被关在有50个中国人的建筑里,523220,2.767420789036444
上海宝山一装修建筑局部坍塌,398203,2.0530266648776863
杨妞花收到余华英死刑终审裁定书,200572,0.9236888536070625
男子利用小程序Bug逃匿28万加油费,426591,2.215246366171261
横店群演春节涨薪10小时160元,681425,3.6714636185119263
流感神药一药难求记者线下实探,421364,2.185377323665219
骗子开始先给你转钱了,1126861,6.216852334356816
腾讯回应被列入美国防部名单,586090,3.126683597981317
房子被鉴定为危房3年了还没拆,436756,2.273332996566117
演员徐大久称刚从人贩子手中逃出来,1012999,5.56620207267269
江西抚州一女生夜跑遭40岁大叔搭讪,381378,1.9568822914007102
男子16年前要求鉴定DNA被假父推托,515141,2.7212543466399812
19岁女大学生深夜失踪8天未归,362775,1.8505777576834925
女员工伪造怀孕B超单逃避服刑,640323,3.436591342812035
门前三包二维码竟扫出内衣介绍,441768,2.3019734482669554
流感特效药速福达为什么这么贵,356674,1.8157143506949025
跨年夜过后留下一地垃圾,142679,0.5928664932086929
2024届清华毕业生就业数据,198249,0.910414358535026
23岁抗癌博主去世父亲发声,977679,5.3643703180690165
跨年夜突发氢气球爆燃群众轻微灼伤,669222,3.601731090158908
虹膜写真图可破解虹膜门锁,431747,2.2447096879927937
云南劫杀案申冤者申诉6年被判无罪,66498,0.15753962748212486
赵露思发长文回应,17538653,100.0
特朗普或将大幅调整美国军购,3631541,20.52953520866958
19岁女生被丢高速后司机账号被封禁,5468658,31.02751220533535
失联9天走出太白山男子已转院西安,187957,0.8516020024087236
外卖小哥撞上路障哭着打电话给妈妈,120101,0.463847315534805
吃5颗车厘子就会中毒系谣言,1036861,5.7025585089227695
警方介入调查村子水井内发现死猪,516298,2.7278658794847277
网友用樊振东身份证号发红包后致歉,5354736,30.376519081100938
胖东来规定员工结婚不许收付彩礼,539368,2.8596965300709885
只有手机是玩回本了,115752,0.4389954950146642
年会抽中一头300斤的活猪,150865,0.6396443738198385
19岁大学生离世捐器官救4人,322233,1.6189055324529689
翟欣欣涉嫌敲诈勒索案即将开庭,1109084,6.115267875081916
把19岁女乘客扔高速顺风车司机错在哪,738733,3.9989430690449748
男子被拐31年后回家专门剪掉白发,257682,1.250036857724156
多地流感神药需求暴涨,457443,2.391546289530052
湘潭大学投毒案一审开庭,638486,3.4260940343973423
西藏震区夜晚气温或达零下十几度,670937,3.6115312447213452
驻站人贩子剃头拐卖孩子,275886,1.3540613554819492
4名中国演员侥幸逃脱泰国试戏骗局,1842921,10.308688297026857
乌鲁木齐冰雪大庙会致歉并宣布整改,2083291,11.682252817244432
以色列遭导弹袭击,4745334,26.894167016576947
19岁大学生脑死亡家人捐赠其器官,109701,0.40441780681798184
一次收几十元微信红包最后贪了47万,1282922,7.108643542035291
不社交不沟通大学生不想谈恋爱了,543159,2.8813597288734383
13人因传播小飞机坠落谣言被处罚,1040733,5.724684572168109
外交部回应演员星星失联,710078,3.8351976294026127
胡锡进建议普通人避开四个陷阱,136564,0.5579230849583685
教育局回应学校工作人员向老人泼水,194828,0.8908654787926941
中老年人开始卷百大了,248100,1.1952817084429446
社区让熏腊肉老人听话是错上加错,1863989,10.429078767185128
30年前杀人案告破被害人女儿更焦虑,861662,4.701405576453663
职业打假收徒贴宣称月入10万,352871,1.7939825793823947
21年前出租车女司机载客遇害案告破,1021503,5.6147971248003685
国安部披露一起泄密事件,152266,0.6476502143690952
韩国客机失事前疑撞上鸟群画面曝光,836462,4.55740330533213
刷单返现宝妈疯狂付款收到空包裹,459832,2.4051979334074067
自驾阿姨苏敏称已转给男方16万,660442,3.551558870299897
短剧顶流演员日薪飙至30000元,274563,1.3465012362480688
向大熊猫兰香扔可乐男子被行政处罚,84763,0.26191270216604556
泻立停被全面禁售,942776,5.164921458189855
日媒称东京大学挤满中国留学生,168035,0.7377602069609783
江苏一中学招13名教师8名为博士,700932,3.782933947986837
吉林一公司发消费券代替工资,563611,2.998230143515406
目前流感病毒99%以上为甲流,550947,2.925863287900998
村民称刘强东发钱不是应该的,741897,4.0170233541969
韩国小狗布丁灵堂安静悼念遇难家人,266203,1.298729054241084
93年女孩成市值407亿公司董事长,1992321,11.162416047247374
西藏定日县地震已致53人遇难,1782891,9.965654315462347
家人为被拐儿子补齐21个生日蛋糕,379436,1.9457849735230108
韩失事客机残骸在调查过程中起火,891283,4.870671103155684
摇粒绒就是穷人的貂,811533,4.414949630062736
多地消防通道被堵塞,315948,1.5829906803101579
网购车厘子一整盒仅6颗大小达标,395307,2.036477832450386
山西一产科医生涉嫌参与婴儿买卖,344234,1.744627515268241
以前都不叫抑郁症,169611,0.7467660632819123
贪了2亿元的三甲院长赃款藏屋子夹层,785787,4.267827309733571
银川地震震中附近小学老师发声,119207,0.45873866353549353
甲流症状累及全身,663343,3.568136274606388
女子怀孕7个月体重94斤,1580595,8.809658940906726
42岁抗癌博主雨虹因口腔癌去世,137179,0.5614374260988345
美国冲撞人群司机下车向人群开枪,172591,0.7637949032796174
消费券抵工资公司负责人被约谈,310914,1.5542245123408804
1700多元商品被收银员家人1元购,64952,0.14870520243633556
女子拒绝复合被泼汽油男方获刑12年,280921,1.3828332378270651
西藏日喀则地震已有32人遇难,2350373,13.208459744850835
美方正考虑禁止中国无人机进入美国,1111331,6.128108077590253
被骗到缅东小伙跳河逃生棉裤都没脱,1856155,10.384312346869013
多家公司正探索上四休三工作模式,273632,1.3411811523427455
香港全款150万13平米的家,387063,1.9893685180406275
舅妈灵堂不下跪被外甥打断6根肋骨,528854,2.7996155825086153
怀9胞胎女子减胎后或一胎不保,395120,2.0354092441686507
赵露思好友曝她曾被公司殴打,695631,3.752642041668772
苏新皓 破音,676207,3.6416460053884276
张家口一冬泳者被困冰层下,1329536,7.3750134573551
大型项目变私人农场开发公司注销,62584,0.13517356045158196
超市丢千万元托盘让全员每人赔500,560893,2.982698469987298
清华女硕士回应失业转行学厨,267915,1.3085120656760072
贪官正事不干天天打牌成公开秘密,487008,2.5604918111851362
专家称老百姓消费少跟收入分配有关,281606,1.3867475852762021
医院保洁倒卖婴儿称自己是做好事,281633,1.3869018734238323
地震瞬间老师冲进厕所救娃裤子都没提,387156,1.989899954993576
有棵树回应生理裤疑加塑料膜,190708,0.8673222503394911
四川一救护车在田里摘柑橘引质疑,377183,1.9329104847596454
巴勒斯坦代表泪洒联合国,681829,3.6737722263505415
济州航空代表理事金利培被禁止出国,134492,0.5460828982217091
6岁男童上学时独自离园2次未被发现,352441,1.7915253977719876
被偷装摄像头民宿老板坚持不改店名,599288,3.2021019302933005
茅台原董事长丁雄军被查,526490,2.7861067980272143
驻站民警被砸恶意报复,117079,0.44657847175189735
各地不得设户籍等障碍影响人才流动,270799,1.3249923255932494
女子造谣男老师患艾滋致封楼被拘,390154,2.0070316537563677
有中国留学人员返美时无法入境,987167,5.418588316021442
常州一党委书记发不雅内容被免职,698843,3.7709966168609292
女子求回购1克拉钻戒给娃治病被拒,277178,1.361444329064847
监管严打股市小作文,138032,0.5663117886887816
花35万申请英国大学发现材料伪造,347297,1.762130648460513
年终奖都用来买年货的年轻人,208087,0.9666323880308055
大爷为褪鸡毛点燃液化气罐,272518,1.3348153376590395
上海地铁回应有人在闲鱼上卖座位,386100,1.983865574108483
虞书欣维权进度公布,140110,0.5781862616804699
重庆一区委书记号召干部带头消费,524619,2.7754152008340247
律师谈胖东来公布员工结婚标准,989373,5.431194229120413
女子离婚受阻用毒鼠强毒死丈夫,602255,3.21905648340511
中国驻泰国使馆回应演员星星失联,517773,2.7362945838460084
研究称白领比蓝领更容易被AI替代,310516,1.5519501907572941
年轻人成黄金首饰主流消费群体,1375500,7.637669028380105
车管所辅警通过十几元的红包收了47万多元,437564,2.2779502122433475
家长有必要帮孩子保管压岁钱吗,721261,3.899101494400712
老人因套餐流量清零起诉移动败诉,600025,3.2063134252860217
A股三大股指均跌逾3%,110072,0.40653784025393774
定日县地震全力搜救,192207,0.875888099720887
贵州高院驳回余华英从轻处罚的请求,59411,0.11704184591711274
美国汽车撞人事件已致10死30伤,214405,1.0027358145762757
弹性退休办法来了,683848,3.6853095511677787
全国流感病毒阳性率快速上升,5473801,31.05690124027099
江苏流感病例数或将持续上升,512691,2.707254125836499
大学生入招聘陷阱上4天班欠5万4,418292,2.1678227610904033
云南劫杀案700公里外的他成嫌疑人,275937,1.3543527886496953
向老人泼水中学负责人已被约谈,398791,2.0563867178705215
陈震称已收到领克律师函,320124,1.6068539138102977
被骗缅北小伙称被发现报警基本九死一生,1410567,7.8380550458967235
四川地震,946694,5.187310382723751
韩国空难179名遇难者身份全部确认,566119,3.0125617981175017
知情人回应生理期内裤被指有塑料膜,1029710,5.661695007304115
小米销售被曝带客户试驾撞倒电动车,464637,2.432655509309747
丁雄军被查,204895,0.9483921003554113
医生详解泻立停为何被禁售,330596,1.6666948575874683
排队1小时兑蛇钞蛇币到手就转卖,5485038,31.12111368156435
他们从学生餐费里收了70多万回扣,423784,2.1992061131935565
低于这个价格可能买不到真羽绒,5493343,31.168571572900234
社会提倡的是在地铁让座而非卖座,411057,2.1264792519013445
李玟姐姐发布声明,569307,3.030779228289543
不能用同意书逼职工弃年假,315451,1.5801506355185944
银川地震有人夜晚一家人轮流守夜,357957,1.8230458948952568
美国在俄乌冲突升级前暗中武装乌克兰,621298,3.3278753424911156
死猪被绑上石头丢进村民饮用水井,571714,3.044533730931985
西藏日喀则地震已有9人遇难,898172,4.910037438304742
官方回应银川是否会发生大地震,89310,0.28789596910214127
定日县地震已致126人遇难188人受伤,400902,2.068449765264869
专家谈中学招13名教师10清北0师范,391761,2.0162146557282847
15岁女孩以买方身份入院产子卖6万8,1412087,7.846740897170721
当地辟谣昌保高速存在质量问题,1591460,8.87174563438829
抑郁症相当于心灵感冒,240429,1.1514467313884493
圣吗哪乳业回应博主奶茶测评事件,256690,1.2443681968927054
陕西一社保局职工受贿2575万,333448,1.6829922574778895
胖东来员工收付彩礼将被取消福利,318255,1.596173745368784
小米SU7侧翻起火十余路人抬车救人,1885366,10.55123497947739
医院宣传语称堕胎斩断男方祖宗血脉,1150138,6.349865860741575
天津天塔跨年夜人从众了,168823,0.7422631351214454
美车辆冲撞行人事件目击者发声,352710,1.7930625648724516
女子称商务车借给剧组同行后被抵押,354661,1.8042113121326944
禁止向28家美国实体出口两用物项,1158720,6.398906634184631
美特朗普国际酒店门前汽车爆炸1死7伤,712840,3.8509807354675996
全款3万8买了条80平米老房船,500361,2.6367958717520343
套取国家补贴将被取消资格并追缴资金,188021,0.8519677224623656
北京出现燃气检修通知骗局,5197037,29.47536772579956
银川一日发生两次4级以上地震,104247,0.37325160099667853
村民自运柴油被罚3万最新进展,390132,2.0069059374879283
日喀则地震震中居民讲述受灾情况,477968,2.5088338536082055
专家说很多翻译硕士水平比不上AI,178850,0.7995611816506364
尹烨谈年轻人躺平,269341,1.316660765621218
向兰香扔瓶子游客已被警方控制,38929,0.0
交通局回应邹城公交停运,519410,2.74564901709307
湘潭大学宿舍投毒案嫌疑人家属发声,1098865,6.056872668391799
王星成功获救,12165964,69.29843579247307
上海男子5元卖早高峰地铁座位,414783,2.147771016274314
平台或对女大学生被丢高速路承担连带责任,473960,2.485930635248876
国际乒联调查组被疑是自查,654566,3.5179811978748923
5斤整装车厘子复秤少半斤,629523,3.374876083759949
流感挤爆三甲医院,150571,0.6379643473234207
女游客在泰国给大象洗澡被刺死,818006,4.451938784863121
失联9天走出太白山男子恐面临截肢,637892,3.4226996951494773
陕西蒲城通报一职校学生坠楼,207996,0.9661123798295334
小心0元购后猫财两空,341977,1.7317301690015225
学校称老人撬门进校被泼冷水已报警,378058,1.937910563618032
控制价相差1分钱千万项目流标,548531,2.9120573558760126
女孩初中切除左肺抗癌10年后离世,1478901,8.228541204421282
谷爱凌直面质疑,316151,1.5841506986053036
GALA 难听,71702,0.18727723934388907
12岁失踪30天男孩曾在监控下呼救,601022,3.212010657996663
每加一箱油被偷走1.5升,353103,1.7953083145768471
未成年非法骑电车上路有多危险,75974,0.21168905292449186
有币商银行门口2倍价格收蛇钞,162803,0.7078625925757458
健身网红朴胜贤去世,667264,3.5905423422677982
药王谷是策划高手与破落商人的合谋,214117,1.0010900743348867
贪官把个人收款码贴在办事大厅,988530,5.426377010288848
不得违法开展异地执法,452876,2.365448735077193
100多份DNA样本揭开24年前命案,302470,1.5059723227634905
上海有偿占座男子已被警方行拘,490747,2.581857862444002
东部战区新年MV用了繁体字,375017,1.9205331466941995
元旦让打工人实现了上四休三,154007,0.6575989427033249
环保女性开始抛弃卫生巾,1089696,6.004477556331746
交警回应健走团过桥占用机动车道,347446,1.7629820904603983
如何看待换燃气表后跑得飞快,1069325,5.8880700061326685
父子相认17年结果生父变养父,984315,5.402290916131021
部分中国航司航班绕开俄罗斯南部空域,522614,2.7639578772785214
中国海警首次在黄岩岛起飞舰载机,142622,0.592540773785918
揭秘缅甸电诈黑产链,267489,1.3060777415689526
韩国公调处尝试抓捕尹锡悦,694142,3.744133336045757
25岁女子体检正常半个月后确诊胃癌,1338788,7.427882862609719
清华92%毕业生在国内工作,289424,1.4314225755789063
家长称困境儿童该交80保费却被收400,517763,2.7362374400876264
网约车司机加乘客微信被封号30天,531233,2.813210082627589
弟弟称王星今日将被送回泰国,237187,1.1329207249211473
警方通报一男子跨年夜人群里点烟花,370228,1.89316700080527
麻醉师缺口大导致无痛分娩难,347022,1.7605591951050201
男子买假证冒充铁路工作人员乘车,370691,1.895812756818336
演员星星泰国试戏失联已超60小时,1489456,8.288856441393017
你觉得上四休三工作制可行吗,209277,0.9734324952782113
男子靠共情式回帖骗23人17万8,505263,2.6648077421106757
余华英案正在死刑复核中,481987,2.5317999301017546
董事长内幕交易获利20万被罚150万,294703,1.4615887656285322
散布地震谣言宁夏又有3人被拘留,998831,5.485240795797694
王星说被迫接受了两三天诈骗培训,662051,3.5607533010234906
阿里131亿港元出售高鑫零售,141041,0.5835063455857933
西藏定日县地震已致95人遇难,2866515,16.157889118708386
被困冰层下冬泳者已被打捞上岸,502027,2.6463160218984023
3.5万买一户建女子朋友称是捡漏,677761,3.650526145440922
问界起诉广州问界M7事故鉴定公司,121277,0.47056742152047654
市监局工作人员回应九点没人上班,584824,3.119449198170211
滑翔伞坠落致教练和一女大学生身亡,845662,4.609975563043165
湖南衡山一滑翔伞基地事故致2死,307255,1.5333156111490673
专家称上四休三全面铺开不现实,263869,1.2853917010348277
这届年轻人越来越流行躺冬,141687,0.587197832377242
年度反腐大片反腐为了人民,164867,0.7196570643057
大使馆提醒在韩中国公民远离政治活动,5470401,31.03747236242126
被顺风车扔高速女生称平台说明不客观,272157,1.3327524479814654
日喀则6.9级左右地震,468132,2.452627252864102
刘强东老家通知村民开车拉年货,170001,0.7489946698587933
孙志刚新型腐败被抓过程曝光,533428,2.8257531375923413
民警从游戏皮肤骗局里抢回14万,481359,2.528211302075393
女生回应不顾家人反对嫁给脑瘫老公,164812,0.7193427736346013
男子境外失联多日曾要求家人勿报警,431820,2.245126837428979
酒店窗外发现无人机女子质疑被偷拍,351172,1.7842738548333676
过境乌的俄天然气申请流量为零,379846,1.9481278676166551
演员王星泰国失联四大疑问待解,181857,0.8167443097959717
民航局回应近期外航安全事故,481977,2.531742786343373
社保局人员受贿2575万打赏主播860万,997017,5.474874918027279
中国船员疑抵泰国后失联被绑至缅甸,259393,1.259814154783241
iPhone16系列或出最便宜版本,191915,0.8742195019761454
00后为了局部退休疯狂存钱,1324223,7.344652978526976
辽宁一大货车起火爆炸多车被引燃,140324,0.5794091381098354
34岁来英国留学的阶级跨越,450158,2.349917061549085
动物园通报男子向大熊猫扔可乐事件,92473,0.305970539878229
12306崩了,1080225,5.95035670276857
贪官用多个家人当受贿收款员,343709,1.7416274679532089
17岁网红抗癌6年后离世,843623,4.598323950709165
有药店玛巴洛沙韦涨价至300元一盒,712208,3.8473692499378846
超8成车主不后悔买电动车,186920,0.8456761946645559
醉酒女乘客疯狂撕咬出租车司机,345931,1.7543248110655916
湖南卫视收视率,969395,5.3170324286257316
男子人群里点烟花被采取刑事强制措施,142439,0.5914950430075354
警惕骗局别再有下一个消失的星星,537210,2.8473649070122478
公寓烟道被堵油烟全往一家钻,441944,2.302979178414471
101注共5.31亿巨奖出自同一站点,622193,3.3329897088662657
河北一滑雪场有游客从缆车上坠落,141534,0.5863235328740042
员工年会中608万彩票公司要求退还,2322009,13.046377188577374
男子买55份保险后要求退一赔三,2006798,11.24514306625636
韩国空难3岁遇难者最后视频曝光,1264002,7.000527551177378
家有甲流患者尽量单间居住,151850,0.6452730340204222
王力宏 复出,405322,2.093707306469519
特朗普或加强涉华AI设备管制,353405,1.7970340560799702
多位知情人揭秘颜十六套路,260524,1.2662771138561957
沈阳一副区长与网红合作卖房,202321,0.9336832969479976
官方回应酒馆挂牌喝酒人才培训基地,344930,1.7486047208515973
律师谈男子地铁早高峰卖座位,368881,1.8854697365512734
四川拟取消应届生身份限制,676131,3.6412117128247283
车厘子价格还会降吗,355229,1.8074570776087668
合格车被车检黄牛整出5个故障,1227296,6.790775671662022
银河酷娱绝不容忍恶意诋毁,454819,2.3765517673307306
贪官开会长篇大论散会吃喝玩乐,56920,0.10280733570426595
央视完整还原男子大连推妻坠海案,1162644,6.421329844973556
嘀嗒发布19岁女孩被扔高速情况说明,5451436,30.92909922465063
江苏确诊一例罕见传染病,2353145,13.224299994674201
向老人泼冷水涉事学校被曝拖欠170万,398371,2.0539866800184963
演员星星乘车离境泰国视频公布,694638,3.746967666461482
23岁男子称遭30岁女房东骚扰,299409,1.4884806183228947
超市因员工集体盗窃亏损200万倒闭,1224257,6.773409683489866
公安网安部门打击加油机作弊犯罪,1849608,10.346900328256606
女子举报在国企上班的丈夫包养情人受贿,242591,1.1638012119505428
买彩票是一些人的自我疗愈方式,400157,2.064192555265443
老妻少夫26年丈夫为妻子留白发扮老,839121,4.572597830685787
凌晨3点宁夏将发生大地震系谣言,416672,2.1585654722325907
会计比对顾总钱总朋友圈保住400万,431381,2.2426182264360284
工资计算方式有变化,589716,3.1474039247704706
民警被查前车托在门口排队送钱,452456,2.363048697225168
42岁抗癌网红雨虹去世,713648,3.85559795114483
海口高坠死亡小学生被霸凌体罚等不实,664622,3.5754449613033894
倒卖婴儿举报人上官正义发声,484387,2.5455144321133294
陕西坠亡学生事发前与同学争执,141467,0.5859406696928476
缅甸妙瓦底系网络诈骗的大本营,525568,2.7808381435044347
德国柏林发生持刀袭击事件,75687,0.21004902705894102
男子甲流后患病毒性肺炎四肢末端花斑,505900,2.6684477995195808
湖南一女游客玩滑翔伞疑掉进水帘洞,714529,3.860632316258245
苹果6.96亿和解siri偷听集体诉讼,176329,0.7851552401626448
本次流感将在1月中旬达到高峰,739869,4.00543459999712
男子为还百万债务杀妻骗保,718338,3.8823983738257817
小伙闯入太白山失联9天后独自走出,340505,1.7233186077677567
24岁小伙吃外卖后睡觉突然去世,660882,3.554073195668686
广州一彩票站开出超5亿元大奖,234795,1.119251937916278
戴耳机听导航撞倒路人被判赔近30万,295466,1.4659488343930454
福彩中心回应双色球5亿巨奖,284104,1.4010220961199158
涉事公司员工回应消费券当工资,204856,0.9481692396977233
大同就婴儿买卖事件成立联合调查组,420878,2.182600137007875
98年民警抓患艾滋嫌犯受伤流血,2358092,13.252569011945559
蛇钞年后溢价预计会收窄,79667,0.23279224289480221
原定投资150亿元项目如今种上小麦,628684,3.3700817224317365
一学校工作人员半夜向老人泼冷水,484486,2.546080155321307
食品代购游走在灰色地带,446695,2.33012817802155
全麻后他加了一次最狠的班,992860,5.451120257668063
药店人员称有医生在线下单流感神药,270661,1.3242037417275838
纽约男子在地铁进站瞬间被推下站台,271261,1.3276323672304775
多地消费者遭遇加油站作弊,588402,3.1398952349191336
江苏大学已报案,536701,2.8444562897106263
江苏一中学招13名教师10名清北0师范,418305,2.1678970479762993
常州一月子中心被曝集体跑路,725333,3.9223704328136835
目前流感病毒阳性病例99%为甲流,247199,1.190133055812766
良心对赌换房过年靠谱吗,507425,2.677162222672769
儿子离家3年无音讯老父亲后悔道歉,216643,1.0155245877020689
媒体评熏腊肉罚款别让年味变了味,389126,2.0011572753947435
男子求朋友还钱给父亲治病急到撞墙,303565,1.5122295643062713
上海辟谣中山医院急诊科全中招新冠,596107,3.183924500752126
生理期内裤含塑料膜不能搪塞了事,1011321,5.556613350016263
假父回应错认儿子16年是看男子可怜,1947892,10.908532043133938
银川地震亲历者称更多是心理折磨,331870,1.6739749724052793
陈震遭领克索赔500万,191753,0.8732937730903642
何炅 我现在有点惊弓之鸟了,1151855,6.35967744405569
